,31.38,1200,31.38,28.6,31.38,1.53,30.44,3.1,30.44,-1.5,30.60,13.724,30.60,45.0,30.76,838,30.76,16,30.90,0.0,31.07,980.0,31.24,21.3,
,32.40,1200,32.40,37.6,32.40,1.53,31.52,7.5,31.52,14.3,31.66,13.818,31.66,45.0,31.82,1335,31.82,16,31.96,0.0,32.10,980.0,32.24,50.4,
,33.43,1120,33.43,36.1,33.43,1.79,32.54,7.8,32.54,14.3,32.68,13.818,32.68,44.0,32.83,2003,32.83,16,32.98,4.0,33.14,990.0,33.29,48.5,
,34.49,1480,34.49,28.6,34.49,1.28,33.59,7.5,33.59,12.8,33.74,13.912,33.74,42.0,33.89,2715,33.89,40,34.02,8.0,34.20,990.0,34.35,46.6,
,35.52,1640,35.52,26.3,35.52,1.53,34.63,6.7,34.63,21.0,34.79,13.818,34.79,41.0,34.94,3466,34.94,40,35.07,10.0,35.21,990.0,35.37,21.3,
,36.59,1160,36.59,37.6,36.59,1.53,35.66,8.6,35.66,-0.8,35.80,13.912,35.80,41.0,35.97,4152,35.97,46,36.10,11.0,36.26,1000.0,36.42,52.4,
,37.64,1280,37.64,30.1,37.64,1.28,36.75,7.8,36.75,12.0,36.88,13.912,36.88,41.0,37.04,4879,37.04,46,37.21,13.0,37.36,1000.0,37.51,48.5,
,38.71,1280,38.71,25.6,38.71,1.28,37.81,5.9,37.81,17.3,37.95,13.818,37.95,40.0,38.10,5594,38.10,46,38.25,14.0,38.42,990.0,38.58,25.2,
,39.77,1360,39.77,23.3,39.77,1.28,38.87,6.3,38.87,18.8,39.04,13.912,39.04,40.0,39.18,6131,39.18,46,39.32,15.0,39.46,990.0,39.63,25.2,
,40.78,1360,40.78,17.3,40.78,1.02,39.90,5.1,39.90,21.0,40.04,13.912,40.04,40.0,40.20,6624,40.20,46,40.34,16.0,40.48,990.0,40.63,5.8,
,41.81,1200,41.81,14.3,41.81,0.00,40.94,3.9,40.94,21.8,41.09,13.912,41.09,41.0,41.23,6993,41.23,32,41.39,15.0,41.53,990.0,41.67,0.0,
,42.84,1160,42.84,15.8,42.84,0.77,41.98,3.5,41.98,-9.8,42.12,13.912,42.12,41.0,42.26,7120,42.26,32,42.40,14.0,42.56,990.0,42.70,0.0,
,43.91,1080,43.91,18.8,43.91,1.02,42.99,3.9,42.99,18.0,43.14,14.006,43.14,42.0,43.29,7331,43.29,12,43.44,12.0,43.59,980.0,43.75,9.7,
,44.95,1080,44.95,18.0,44.95,1.02,44.06,4.3,44.06,18.8,44.20,13.912,44.20,42.0,44.36,7673,44.36,12,44.51,12.0,44.65,980.0,44.79,9.7,
,46.00,1000,46.00,14.3,46.00,0.77,45.11,4.3,45.11,18.0,45.26,13.912,45.26,42.0,45.40,8010,45.40,20,45.56,12.0,45.71,980.0,45.86,0.0,
,47.07,1280,47.07,48.1,47.07,1.79,46.17,3.1,46.17,3.0,46.32,13.912,46.32,42.0,46.46,8248,46.46,20,46.60,12.0,46.76,980.0,46.92,48.5,
,48.09,1720,48.09,88.7,48.09,2.55,47.21,14.1,47.21,12.0,47.37,13.912,47.37,42.0,47.51,9010,47.51,20,47.66,14.0,47.79,1000.0,47.95,153.3,
,49.13,2400,49.13,103.8,49.13,2.81,48.23,87.5,48.23,3.8,48.37,13.912,48.37,41.0,48.53,11204,48.53,42,48.67,22.0,48.81,1290.0,48.96,195.9,
,50.14,1960,50.14,115.0,50.14,3.31,49.28,27.8,49.28,6.8,49.42,13.912,49.42,38.0,49.56,14604,49.56,42,49.72,29.0,49.86,1320.0,50.01,199.8,
,51.19,2320,51.19,118.8,51.19,3.31,50.32,38.0,50.32,-0.8,50.47,13.818,50.47,36.0,50.61,18117,50.61,208,50.75,35.0,50.90,1370.0,51.06,217.3,
,52.24,2720,52.24,91.0,52.24,2.81,51.35,100.0,51.35,2.3,51.51,13.912,51.51,35.0,51.66,22228,51.66,208,51.80,42.0,51.93,1370.0,52.09,174.6,
,53.26,2120,53.26,86.5,53.26,2.55,52.38,24.7,52.38,11.3,52.52,14.006,52.52,33.0,52.68,26232,52.68,268,52.82,47.0,52.96,1290.0,53.10,149.4,
,54.29,2280,54.29,90.2,54.29,2.55,53.42,23.1,53.42,7.5,53.57,14.006,53.57,33.0,53.71,29134,53.71,268,53.87,51.0,54.01,1280.0,54.16,168.8,
,55.32,2400,55.32,84.2,55.32,2.29,54.46,23.9,54.46,9.8,54.60,13.912,54.60,32.0,54.74,32199,54.74,268,54.88,55.0,55.04,1290.0,55.19,159.1,
,56.35,2000,56.35,81.2,56.35,2.29,55.47,21.6,55.47,10.5,55.62,13.912,55.62,32.0,55.76,2539,55.76,204,55.90,58.0,56.04,1300.0,56.20,153.3,
,57.42,2000,57.42,84.2,57.42,2.55,56.50,20.8,56.50,9.0,56.64,13.912,56.64,31.0,56.81,5179,56.81,204,56.97,60.0,57.12,1260.0,57.26,157.1,
,58.46,2080,58.46,78.9,58.46,2.29,57.58,20.8,57.58,8.3,57.73,13.912,57.73,31.0,57.87,7846,57.87,186,58.03,63.0,58.18,1260.0,58.33,147.4,
,59.55,1960,59.55,76.7,59.55,2.29,58.64,19.2,58.64,10.5,58.79,13.912,58.79,31.0,58.93,10454,58.93,186,59.10,65.0,59.26,1240.0,59.41,108.6,
,60.61,1760,60.61,82.0,60.61,2.55,59.69,17.3,59.69,9.8,59.85,13.912,59.85,31.0,60.00,12864,60.00,168,60.15,66.0,60.28,1210.0,60.45,153.3,
,61.61,1800,61.61,80.5,61.61,2.29,60.74,20.0,60.75,7.5,60.88,13.912,60.89,31.0,61.04,15153,61.04,168,61.20,68.0,61.32,1210.0,61.45,147.4,
,62.64,1840,62.64,63.9,62.64,2.04,61.76,19.2,61.77,8.3,61.92,14.006,61.92,31.0,62.06,17366,62.06,168,62.24,69.0,62.37,1200.0,62.50,116.4,
,63.69,1840,63.69,70.7,63.69,2.04,62.80,16.1,62.80,12.0,62.96,14.006,62.96,31.0,63.09,19295,63.09,148,63.24,70.0,63.40,1160.0,63.55,122.2,
,64.74,1880,64.74,69.9,64.74,2.04,63.83,17.6,63.83,10.5,63.99,14.006,63.99,31.0,64.13,21285,64.13,148,64.29,71.0,64.42,1170.0,64.59,122.2,
,65.80,1920,65.80,69.2,65.80,2.04,64.89,17.6,64.89,10.5,65.03,14.006,65.03,31.0,65.21,23429,65.21,132,65.36,72.0,65.50,1180.0,65.64,124.2,
,66.83,1920,66.83,61.7,66.83,1.79,65.94,17.3,65.94,10.5,66.08,14.006,66.08,31.0,66.22,25428,66.22,132,66.38,73.0,66.51,1180.0,66.67,110.6,
,67.86,1960,67.86,66.9,67.86,1.79,66.99,15.3,66.99,12.0,67.12,14.006,67.12,31.0,67.27,27376,67.27,134,67.42,74.0,67.56,1160.0,67.72,116.4,
,68.93,2000,68.93,66.2,68.93,2.04,68.01,16.5,68.01,11.3,68.16,13.912,68.16,31.0,68.32,29315,68.32,134,68.47,75.0,68.62,1170.0,68.77,116.4,
,69.99,2000,69.99,65.4,69.99,2.04,69.07,16.9,69.07,12.0,69.22,13.912,69.22,31.0,69.37,31325,69.37,130,69.53,76.0,69.68,1180.0,69.81,116.4,
,71.01,1800,71.01,71.4,71.01,2.04,70.13,16.1,70.13,12.0,70.29,14.006,70.29,31.0,70.41,566,70.41,130,70.60,77.0,70.75,1180.0,70.88,97.0,
,72.05,1720,72.05,75.9,72.05,2.29,71.18,16.5,71.18,9.8,71.33,14.006,71.33,31.0,71.46,2443,71.46,130,71.60,78.0,71.76,1170.0,71.91,135.8,
,73.13,1720,73.13,74.4,73.13,2.04,72.18,18.4,72.18,9.0,72.36,14.006,72.36,30.0,72.49,4445,72.49,128,72.65,79.0,72.80,1180.0,72.97,131.9,
,74.17,1760,74.17,91.0,74.17,2.81,73.26,18.8,73.26,9.8,73.41,13.818,73.41,30.0,73.56,6476,73.56,128,73.71,80.0,73.85,1180.0,74.00,135.8,
,75.22,2120,75.22,127.8,75.22,4.34,74.32,73.7,74.32,3.0,74.48,14.006,74.48,30.0,74.62,8954,74.62,136,74.78,81.0,74.93,1360.0,75.07,223.1,
,76.23,2240,76.23,124.8,76.23,3.83,75.37,100.0,75.37,1.5,75.51,14.006,75.51,30.0,75.65,12560,75.65,136,75.79,83.0,75.95,1460.0,76.09,225.0,
,77.31,2320,77.31,122.6,77.31,3.31,76.37,100.0,76.37,3.0,76.53,14.006,76.53,30.0,76.68,16671,76.68,248,76.83,87.0,76.98,1450.0,77.14,225.0,
,78.37,2400,78.37,16.5,78.37,0.51,77.45,100.0,77.45,3.8,77.59,13.818,77.59,30.0,77.75,21118,77.75,248,77.91,90.0,78.06,1260.0,78.20,60.1,
,79.41,2040,79.41,11.3,79.41,0.00,78.52,5.9,78.52,-3.0,78.67,14.006,78.67,28.0,78.81,23108,78.81,248,78.98,90.0,79.14,1040.0,79.27,0.0,
,80.46,1920,80.46,17.3,80.46,0.77,79.57,4.3,79.57,7.5,79.72,14.006,79.72,30.0,79.86,23234,79.86,194,80.00,88.0,80.17,1010.0,80.30,5.8,
,81.49,1920,81.49,30.1,81.49,1.79,80.61,6.7,80.61,24.0,80.77,14.006,80.77,30.0,80.91,23776,80.91,194,81.05,88.0,81.20,1000.0,81.35,36.9,
,82.55,1880,82.55,51.1,82.55,1.53,81.63,9.8,81.63,18.8,81.77,14.006,81.77,32.0,81.94,24679,81.94,28,82.09,87.0,82.23,1010.0,82.37,75.7,
,83.59,1920,83.59,62.4,83.59,1.79,82.70,14.5,82.70,14.3,82.84,13.912,82.84,32.0,82.98,26063,82.98,28,83.14,87.0,83.31,1080.0,83.45,108.6,
,84.61,1920,84.61,66.9,84.61,2.04,83.75,15.7,83.75,12.0,83.89,13.912,83.89,31.0,84.03,27773,84.03,92,84.17,87.0,84.34,1130.0,84.47,112.5,
,85.64,1920,85.64,69.2,85.64,2.29,84.75,16.9,84.75,11.3,84.91,14.006,84.91,31.0,85.06,29559,85.06,92,85.20,88.0,85.35,1170.0,85.50,128.0,
,86.71,1960,86.71,72.9,86.71,2.04,85.78,16.9,85.78,11.3,85.92,14.006,85.92,30.0,86.08,31653,86.08,92,86.23,89.0,86.37,1190.0,86.52,130.0,
,87.75,1960,87.75,71.4,87.75,2.04,86.86,17.6,86.86,10.5,87.00,14.006,87.00,29.0,87.14,1056,87.14,128,87.30,89.0,87.47,1210.0,87.61,128.0,
,88.78,1960,88.78,72.2,88.78,2.04,87.91,17.3,87.91,10.5,88.05,14.006,88.05,29.0,88.19,3203,88.19,128,88.33,90.0,88.50,1210.0,88.64,130.0,
,89.86,2000,89.86,71.4,89.86,2.04,88.93,17.6,88.93,10.5,89.10,14.006,89.10,28.0,89.26,5435,89.26,142,89.39,91.0,89.55,1210.0,89.71,128.0,
,90.91,2000,90.91,48.1,90.91,1.53,90.00,15.7,90.00,12.0,90.14,14.006,90.14,28.0,90.30,7582,90.30,142,90.45,91.0,90.60,1180.0,90.75,83.4,
